不重複,,Date Created,Platform,Model #,Accessories,Brand,Title,SKU,Product URL,Image URL,Exclude Update,20260101
不重複,,2026-01-04-01,R-OBI,GTM 12 JL,"with saw blade x1, battery x1, stand x1",Bosch,Bosch Professional Kombinationssäge GTM 12 JL + Arbeitstisch GTA 2600 im Karton,6868707,https://www.obi.de/p/6868707/bosch-professional-kombinationssaege-gtm-12-jl-arbeitstisch-gta-2600-im-karton,https://bilder.obi.de/20da0701-ebf5-49c5-9afa-ee0d87f46066/prZZK/image.jpeg,N,699.99
不重複,,2026-01-04-01,R-OBI,GTM 12 JL,with saw blade x1,Bosch,Bosch Professional Kombi-Säge GTM 12 JL mit Kreissägeblatt 305 mm,2102341,https://www.obi.de/p/2102341/bosch-professional-kombi-saege-gtm-12-jl-mit-kreissaegeblatt-305-mm,https://bilder.obi.de/b73c14ab-700f-4b0c-8cf9-1a27ffb13477/prZZK/image.jpeg,N,639.99
不重複,,2026-01-04-01,R-Conrad,GTS 10 J,-,Bosch,Bosch Professional GTS 10 J Tischkreissäge 254 mm 30 mm 1800 W,2149323,https://www.conrad.de/de/p/bosch-professional-gts-10-j-tischkreissaege-254-mm-30-mm-1800-w-2149323.html,https://asset.conrad.com/media10/isa/160267/c1/-/de/002149323PI00/bosch-professional-gts-10-j-tischkreissaege-254-mm-30-mm-1800-w.jpg?x=300&y=300,N,742.78
不重複,,2026-01-04-01,R-GoTools,GTS 10 J,with saw blade x1,Bosch,Bosch Tischkreissäge GTS 10 J Professional im Set inkl. 1x Sägeblatt,115470,https://www.gotools.de/marken/bosch/elektrowerkzeugfuerprofis/stationaergeraete-tische/stationaergeraete-1/bosch-tischkreissaege-gts-10-j-professional-im-set-inkl-1x-saegeblatt_115470_6459,https://cdn02.plentymarkets.com/qddd911h1zyd/item/images/115470/middle/IMG-RD-376179-117.jpg.avif,N,769.99
不重複,,2026-01-04-01,R-Contorion,GTS 10 J,-,Bosch,Bosch Tischsäge GTS 10 J,132204,https://www.contorion.de/p/bosch-tischsaege-gts-10-j-132204,https://media.contorion.de/media/images/products/bosch-tischsaege-gts-10-j-132204-0-vbZ1EqaR-xm.jpg,N,805.01
不重複,,2026-01-04-01,R-Toolineo,GTS 10 J,-,Bosch,Bosch - Tischkreissäge GTS 10 J,V00000000082669,https://toolineo.de/elektrowerkzeuge/halbstationaere-stationaere-maschinen/tischkreissaege/tischkreissaege-gts-10-j-0601b30500-v00000000082669-prdV00000000082669-ctg28313.28549.32185,https://tlnzzassetsprd.blob.core.windows.net/images/web/IMG-RD-376179-117200x200.jpg,N,1031.99
不重複,,2026-01-04-01,R-Bauhaus,GTS 10 J,with saw blade x1,Bosch,Tischkreissäge GTS 10 J,24788795,https://www.bauhaus.at/tischkreissaegen/bosch-professional-tischkreissaege-gts-10-j/p/24788795,https://media.cdn.bauhaus/m/221406/15.jpg,N,649
不重複,,2026-01-04-01,R-OBI,GTS 10 J,with saw blade x1,Bosch,Bosch Professional Tischkreissäge GTS 10 J 1.800 W mit Kreissägeblatt 254 mm,1082304,https://www.obi.de/p/1082304/bosch-professional-tischkreissaege-gts-10-j-1-800-w-mit-kreissaegeblatt-254-mm,https://bilder.obi.de/ac3e8788-b288-4c21-8fb4-bdd5625336d3/prZZK/image.jpeg,N,649.99
不重複,,2026-01-04-01,R-Contorion,GCD 12 JL,,Bosch,Bosch Metalltrennsäge GCD 12 JL,10023569,https://www.contorion.de/p/bosch-metalltrennsaege-gcd-12-jl-10023569,https://media.contorion.de/media/images/products/bosch-metalltrennsaege-gcd-12-jl-10023569-0-Far60LJ6-xm.jpg,Y,785.98
不重複,,2026-01-04-01,R-Conrad,GCO 14-24 J,,Bosch,Bosch Professional GCO 14-24 J Metalltrennsäge 355 mm 2400 W,2306367,https://www.conrad.de/de/p/bosch-professional-gco-14-24-j-metalltrennsaege-355-mm-2400-w-2306367.html,https://asset.conrad.com/media10/isa/160267/c1/-/de/002306367PI00/bosch-professional-gco-14-24-j-metalltrennsaege-355-mm-2400-w.jpg?x=300&y=300,Y,234.45
不重複,,2026-01-04-01,R-Conrad,GKS 18V-70 L,"with saw blade , battery x1, stand",Bosch,"Bosch GKS 18V-70 L Akku Kreissäge 18 V Brushless 190 mm BITURBO + 1x ProCORE Akku 5,5 Ah + L-Boxx - ohne Ladegerät",878761295,https://www.conrad.de/de/p/bosch-gks-18v-70-l-akku-kreissaege-18-v-brushless-190-mm-biturbo-1x-procore-akku-5-5-ah-l-boxx-ohne-ladegeraet-878761295.html,https://asset.conrad.com/media10/isa/160267/c1/-/de/866610566PI00/bosch-gks-18v-70-l-akku-kreissaege-18-v-brushless-190-mm-biturbo-1x-procore-akku-5-5-ah-l-boxx-ohne-ladegeraet.jpg?x=300&y=300,Y,469.22
不重複,,2026-01-04-01,Bosch,GTS 10 J,-,Bosch,GTS 10 J,0601B30500,https://www.bosch-professional.com/de/de/products/gts-10-j-0601B30500,https://www.bosch-professional.com/de/de/ocsmedia/322994-54/product-image/265x265/tischsaege-gts-10-j-0601b30500.png,N,982
不重複,,2026-01-04-01,R-Hornbach,GTS 10 J,with saw blade x1,Bosch,"Tischsäge Bosch Professional GTS 10 J inkl. 1 x Kreissägeblatt (Optiline Wood, 254 x 2,8/1,8 x 30 mm, 24 Zähne) und Zubehör",6088673,https://www.hornbach.de/p/tischsaege-bosch-professional-gts-10-j-inkl-1-x-kreissaegeblatt-optiline-wood-254-x-2-8-1-8-x-30-mm-24-zaehne-und-zubehoer/6088673/,https://media.hornbach.de/hb/packshot/as.46489223.jpg?dvid=8,N,659
不重複,,2026-01-04-01,R-GoTools,GTS 10 XC,"with saw blade x1, stand x1",Bosch,Bosch Tischkreissäge GTS 10 XC + GTA 6000 + Nass-/Trockensauger GAS 35 L SFC+,120596,https://www.gotools.de/gt-specials/gotools-exclusives/bosch-tischkreissaege-gts-10-xc-gta-6000-nass-trockensauger-gas-35-l-sfc_120596_11594,https://cdn02.plentymarkets.com/qddd911h1zyd/item/images/120596/middle/120596-0615990EM9---06019C3000.jpg.avif,N,1273.99
不重複,,2026-01-04-01,R-toom,GTS 10 XC,-,Bosch,Tischkreissäge 'Professional GTS 10 XC' 2000 W,1490903,https://toom.de/p/tischkreissaege-professional-gts-10-xc-2000-w/1490903,https://static.toom.de/produkte/bilder/1490903/1490903_01.png?quality=80&format=jpg&width=350,N,799
不重複,,2026-01-04-01,R-GoTools,GTS 10 XC,-,Bosch,Bosch Tischkreissäge GTS 10 XC Professional + Nass-/Trockensauger GAS 35 M AFC,120594,https://www.gotools.de/marken/bosch/elektrowerkzeugfuerprofis/stationaergeraete-tische/stationaergeraete-1/bosch-tischkreissaege-gts-10-xc-professional-nass-trockensauger-gas-35-m-afc_120594_11592,https://cdn02.plentymarkets.com/qddd911h1zyd/item/images/120594/middle/120594-0601B30400---06019C3100-neu.jpg.avif,N,1523.99
