預覽圖,建立時間,平台,機型,配件,品牌,標題,SKU,網址,預覽圖片網址,排除更新,20251229,20251225
,2025-12-25-01,R-Contorion,GCM 18V-216 D,with saw blade x1,Bosch,Bosch Akku-Kapp- und Gehrungssäge BITURBO GCM 18V-216 D,83072659,https://www.contorion.de/p/bosch-akku-kapp-und-gehrungssaege-biturbo-gcm-18v-216-d-83072659,https://bilder.obi.de/164a1c9f-ecfc-4f1d-9207-16c00f078870/prZZK/image.jpeg,N,483.98,483.98
,2025-12-25-01,R-Hornbach,GCM 18V-216 D,with saw blade x1,Bosch,"Akku-Kapp- und Gehrungssäge Paneelsäge BITURBO Bosch Professional GCM 18V-216D inkl. 1 x Kreissägeblatt, ohne Akku und Ladegerät",12043492,https://www.hornbach.de/p/akku-kapp-und-gehrungssaege-paneelsaege-biturbo-bosch-professional-gcm-18v-216d-inkl-1-x-kreissaegeblatt-ohne-akku-und-ladegeraet/12043492/,https://bilder.obi.de/164a1c9f-ecfc-4f1d-9207-16c00f078870/prZZK/image.jpeg,N,439,439
,2025-12-25-01,R-OBI,GCM 18V-216 DC,with saw blade x1,Bosch,Bosch Professional Akku-Kapp- und Gehrungssäge GCM 18 V-216 DC,6096010,https://www.obi.de/p/6096010/bosch-professional-akku-kapp-und-gehrungssaege-gcm-18-v-216-dc,https://bilder.obi.de/9427b9f9-c656-42e1-af56-d9f3d5944960/prZZK/image.jpeg,N,579.99,579.99
,2025-12-25-01,R-Conrad,GCM 18V-216 DC,with saw blade x1,Bosch,"Bosch Professional GCM 18V-216 DC solo Kapp-, Gehrungs- und Tischkreissäge bürstenlos, ohne Akku, ohne Ladegerät 216 mm 30 mm",2618717,https://www.conrad.de/de/p/bosch-professional-gcm-18v-216-dc-solo-kapp-gehrungs-und-tischkreissaege-buerstenlos-ohne-akku-ohne-ladegeraet-216-mm-2618717.html,https://bilder.obi.de/9427b9f9-c656-42e1-af56-d9f3d5944960/prZZK/image.jpeg,N,599.92,575.63
,2025-12-25-01,R-GoTools,GCM 18V-216 DC,with saw blade x1,Bosch,Bosch BITURBO Akku Kapp- und Gehrungssäge GCM 18V-216 DC ohne Akku und Ladegerät,130835,https://www.gotools.de/marken/bosch/elektrowerkzeugfuerprofis/bosch-biturbo-akku-kapp-und-gehrungssaege-gcm-18v-216-dc-ohne-akku-und-ladegeraet_130835_21829,https://bilder.obi.de/9427b9f9-c656-42e1-af56-d9f3d5944960/prZZK/image.jpeg,N,604.99,604.99
,2025-12-25-01,R-Toolineo,GCM 18V-216 DC,with saw blade x1,Bosch,Bosch - Akku-Kapp- und Gehrungssäge GCM 18V-216 DC BITURBO,V00000003410467,https://toolineo.de/akku-kapp-und-gehrungssaege-gcm-18v-216-dc-biturbo-v00000003410467-prdV00000003410467,https://bilder.obi.de/9427b9f9-c656-42e1-af56-d9f3d5944960/prZZK/image.jpeg,N,778.26,778.26
,2025-12-25-01,R-GoTools,GCM 18V-216 DC,"with saw blade x1, battery x2, charger x1",Bosch,Bosch BITURBO Akku Kapp- und Gehrungssäge GCM 18V-216 DC + 2x 18V 5.5Ah + Lader,131536,https://www.gotools.de/marken/bosch/elektrowerkzeugfuerprofis/bosch-biturbo-akku-kapp-und-gehrungssaege-gcm-18v-216-dc-2x-18v-5-5ah-lader_131536_22536,https://cdn02.plentymarkets.com/qddd911h1zyd/item/images/173168/middle/64152.jpg.avif,N,857.99,857.99
,2025-12-25-01,R-GoTools,GCM 18V-216 DC,"with saw blade x1, battery x2, charger x1",Bosch,"Bosch BITURBO Akku Kapp- und Gehrungssäge GCM 18V-216 DC ProCORE Akkus 2x 8,0 Ah, Ladeg.",173168,https://www.gotools.de/marken/bosch/elektrowerkzeugfuerprofis/bosch-biturbo-akku-kapp-und-gehrungssaege-gcm-18v-216-dc-procore-akkus-2x-8-0-ah-ladeg_173168_64152,https://cdn02.plentymarkets.com/qddd911h1zyd/item/images/173168/middle/64152.jpg.avif,N,910.99,910.99
,2025-12-25-01,R-Contorion,GCM 18V-216 DC,with saw blade x1,Bosch,"Bosch Kapp- und Gehrungssäge BITURBO Akku, Typ: GCM18216DC",54919839,https://www.contorion.de/p/bosch-kapp-und-gehrungssaege-biturbo-akku-typ-gcm18216dc-54919839,https://bilder.obi.de/9427b9f9-c656-42e1-af56-d9f3d5944960/prZZK/image.jpeg,N,876.99,876.99
,2025-12-25-01,R-OBI,GCM 18V-254 D,with saw blade x1,Bosch,Bosch Professional Akku-Kapp- und Gehrungssäge GCM 18 V-254 D,6095939,https://www.obi.de/p/6095939/bosch-professional-akku-kapp-und-gehrungssaege-gcm-18-v-254-d,https://bilder.obi.de/ebddb24e-f6e6-45fb-85e6-5e2302755c0a/prZZK/image.jpeg,N,629.99,629.99
